id,artist,album,album_art,top_emotion,id1,id2,id3,id4,id5
90,Pearl Jam,Backspacer,https://i.scdn.co/image/ab67616d0000b273cd1c5e0054c122d9aa3f829a,joy,6246,1514,5466,5702,9742
91,Cannibal Ox,Blade of the Ronin,https://i.scdn.co/image/ab67616d0000b273188d2e55865603fba4c30761,anger,3907,4995,6529,1561,2034
92,Crypt Sermon,Out of the Garden,https://i.scdn.co/image/ab67616d0000b273f1a16dc1ec7b43f45d133dea,sadness,4580,7380,10354,7137,2860
93,Swervedriver,I Wasn't Born to Lose You,https://i.scdn.co/image/ab67616d0000b273ed91688f23f25d0d1b5be6e2,anger,10232,131,1171,635,9613
94,Matthew E. White,Fresh Blood,https://i.scdn.co/image/ab67616d0000b273c474d5c82c212c8ae405748b,joy,10829,9293,4270,312,2768
95,Dick Diver,"Melbourne, Florida",https://i.scdn.co/image/ab67616d0000b273514702f115bf6c81d4db50ab,surprise,10572,3792,5857,7673,7091
96,Rio en Medio,The Bride of Dynamite,https://i.scdn.co/image/ab67616d0000b273e291f7367045600ce98e26fb,joy,6062,10975,10454,8922,7208
97,Fucked Up,Hidden World,https://i.scdn.co/image/ab67616d0000b27317d74e3f65689544e3b1897f,sadness,3359,8613,5088,1816,3325
98,The Fall,Reformation Post TLC,https://i.scdn.co/image/ab67616d0000b273ce58526a300201513827e3bf,surprise,1425,4094,8007,718,10595
99,Chris Garneau,Music for Tourists,https://i.scdn.co/image/ab67616d0000b27336d4c625b216637c741248b6,sadness,10700,3952,4302,9530,1713
100,Beach Fossils,Somersault,https://i.scdn.co/image/ab67616d0000b273eb70b4a8562f8a40859621a2,surprise,6378,1953,5895,9595,2628
101,alt-J,RELAXER,https://i.scdn.co/image/ab67616d0000b2732ffd65ffee0b083f0d203638,joy,8420,10260,3384,3033,1967
102,Chastity Belt,I Used to Spend So Much Time Alone,https://i.scdn.co/image/ab67616d0000b2736ffba5d626da9bd6528e22f7,anger,9093,9066,3561,8527,3593
103,Omar Souleyman,"To Syria, With Love",https://i.scdn.co/image/ab67616d0000b273fbdc8109778951ae3d23174b,surprise,6304,1288,8190,8477,4777
104,Gucci Mane,Droptopwop,https://i.scdn.co/image/ab67616d0000b2738d9c4bc6eaea79df13321cfb,anger,6821,9788,7001,389,8770
105,Bill Callahan,Rough Travel for a Rare Thing,https://i.scdn.co/image/ab67616d0000b27379291b01db61b767a687a7ee,sadness,7619,3271,5225,3135,2527
106,Cibelle,Las Vênus Resort Palace Hotel,https://i.scdn.co/image/ab67616d0000b273b636209840af4292a404eb90,joy,1967,101,10260,628,10716
107,The Tallest Man on Earth,The Wild Hunt,https://i.scdn.co/image/ab67616d0000b27339983a909a80348681fde2b0,joy,3214,928,7681,7812,3057
108,Priestess,Prior to the Fire,https://i.scdn.co/image/ab67616d0000b273af776b6b0aab5883407c3f06,sadness,5333,4329,10778,4445,1318
109,The Horrors,Skying,https://i.scdn.co/image/ab67616d0000b2733140ff84eebb43644db068cf,surprise,8139,6525,2837,405,9372
110,Prurient,Bermuda Drain,https://i.scdn.co/image/ab67616d0000b273e30238ec529f80040b257c62,joy,2917,5674,5620,6361,1941
111,Kendrick Lamar,Section.80,https://i.scdn.co/image/ab67616d0000b273eddb2639b74ac6c202032ebe,anger,4110,7851,1465,1979,9366
112,Sons and Daughters,Mirror Mirror,https://i.scdn.co/image/ab67616d0000b2734a552118eb1d204ca73d072e,joy,2840,10885,7192,638,10494
113,Múm,Finally We Are No One,https://i.scdn.co/image/ab67616d0000b273fd4a18493204ded82b0c7b00,joy,7552,6374,1491,7753,7048
114,Moby,18,https://i.scdn.co/image/ab67616d0000b273718e49988f79e3c85dd71941,sadness,1539,2762,6001,3271,3120
115,Black Strobe,Burn Your Own Church,https://i.scdn.co/image/ab67616d0000b273375a553babc9c5361066de0c,joy,67,6189,2039,4740,3457
116,M. Ward,Duet for Guitars #2,https://i.scdn.co/image/ab67616d0000b273851f938bcd7694faf25c5983,sadness,10016,10897,4087,1272,6724
117,You Say Party,Lose All Time,https://i.scdn.co/image/ab67616d0000b2732ae2ee37ee5350e4802f5658,joy,5774,7491,1116,9922,5315
118,BOAT,Let's Drag Our Feet,https://i.scdn.co/image/ab67616d0000b27381fef007f92961cc617d1b59,anger,6462,6866,6742,3593,10125
119,David Bowie,Best of Bowie: 1980-1987,https://i.scdn.co/image/ab67616d0000b273995fa61ae61d02e72dc4c7a5,joy,4549,7197,3393,6805,10329
120,Magic!,Primary Colours,https://i.scdn.co/image/ab67616d0000b273628b74d5d7a567e071187e23,joy,4258,7788,9763,10329,11031
121,Weaves,Weaves,https://i.scdn.co/image/ab67616d0000b273d382b0f2642e87dd16551fb4,anger,10209,10414,1723,7232,4283
122,Bat for Lashes,The Bride,https://i.scdn.co/image/ab67616d0000b273558da9e30e8178ef1ebaf365,joy,3985,2662,3077,1429,10163
123,Mick Harvey,Delirium Tremens,https://i.scdn.co/image/ab67616d0000b2732cbbf118a9625bbfe9adfbcc,joy,2829,3535,3275,8871,3499
124,Alice Bag,Alice Bag,https://i.scdn.co/image/ab67616d0000b273b6f71a8acfcedfa8e61aa705,anger,477,8498,10000,325,4511
125,Stephen Steinbrink,Anagrams,https://i.scdn.co/image/ab67616d0000b273c7ed895c6bc032f0eef332cf,sadness,9391,10206,3282,4224,7456
126,Pulp,Different Class,https://i.scdn.co/image/ab67616d0000b273fd952bece8f049dbcd7df93f,surprise,3140,10094,769,3025,642
127,Desiigner,New English,https://i.scdn.co/image/ab67616d0000b273c598ea6ec584cafb062cafdf,anger,3249,3188,1931,10591,10934
128,Nice as Fuck,Nice As Fuck,https://i.scdn.co/image/ab67616d0000b273a7959a0e6325ce2a63624176,joy,283,5720,8329,9602,8981
129,Windsor for the Derby,We Fight Til Death,https://i.scdn.co/image/ab67616d0000b273bb71e9213ed3a132237be649,sadness,525,5561,5077,1985,9168
130,The Dillinger Escape Plan,Miss Machine,https://i.scdn.co/image/ab67616d0000b2734688955962b5e267448efb95,anger,1605,4414,9316,7029,6486
131,The Blood Brothers,Crimes,https://i.scdn.co/image/ab67616d0000b273e6b5bd8ddb0dc4586f3907fa,joy,10232,6801,146,93,6892
132,Mclusky,The Difference Between Me and You Is That I'm Not on Fire,https://i.scdn.co/image/ab67616d0000b2737000b938f8dcf9a1d21ea595,anger,4010,6800,3963,1080,3285
133,Pedro the Lion,Achilles Heel,https://i.scdn.co/image/ab67616d0000b27310ca6a315ac4d9ed96760380,anger,6396,1160,6906,6998,1867
134,Felix Da Housecat,Devin Dazzle and The Neon Fever,https://i.scdn.co/image/ab67616d0000b27362d161e4fd6da4530d130a30,joy,1046,1152,6594,4117,7161
135,The Soft Moon,Zeros,https://i.scdn.co/image/ab67616d0000b27382ed91dac05c76a7bfccebcf,sadness,2824,4836,6429,8435,484
136,Tracey Thorn,Tinsel and Lights,https://i.scdn.co/image/ab67616d0000b2737358aaa93b1e24f7d168d45c,joy,8420,6464,3872,10462,101
137,Martha Wainwright,Come Home to Mama,https://i.scdn.co/image/ab67616d0000b273df3e6fb75821cb395bcd750d,joy,7598,4204,1829,2425,1112
138,The Coup,Sorry to Bother You,https://i.scdn.co/image/ab67616d0000b2737557530db19f52ec2ef9a693,anger,8540,7454,10251,10546,8048
139,Andrew Bird,Hands of Glory,https://i.scdn.co/image/ab67616d0000b2734a23a58da9fd65391d49194b,sadness,2189,9160,10369,1842,10608
140,Sweet Valley,Eternal Champ,https://i.scdn.co/image/ab67616d0000b273161b8bdbf088590dee2158b6,joy,3299,2513,8944,7829,6854
141,Egyptian Hip Hop,Good Don't Sleep,https://i.scdn.co/image/ab67616d0000b2737d5ec4e84fe1b70f9954986b,sadness,252,869,8322,9548,9784
142,Arovane,Tides,https://i.scdn.co/image/ab67616d0000b273894febf5cb723aba75a5ef10,surprise,1716,5870,9005,9087,7759
143,Idlewild,100 Broken Windows,https://i.scdn.co/image/ab67616d0000b2738b094ce3ec6389c875ab4972,anger,3902,5082,8236,1238,7300
144,Calexico,Hot Rail,https://i.scdn.co/image/ab67616d0000b273972d9debceda8a4058fcb386,sadness,262,5877,5400,4031,903
145,Jeff Buckley,Mystery White Boy,https://i.scdn.co/image/ab67616d0000b27366a82f1edd6013c64d923b41,joy,1231,2058,8781,3601,3794
146,The (International) Noise Conspiracy,Survival Sickness,https://i.scdn.co/image/ab67616d0000b2739c5e8f1a4da1a239c0511017,joy,131,8353,10232,6892,8012
147,Looper,The Geometrid,https://i.scdn.co/image/ab67616d0000b27339e50fd561a96524daf0e627,joy,3034,5678,2573,5155,372
148,The Delgados,The Great Eastern,https://i.scdn.co/image/ab67616d0000b273204c5663b0e41d5a460fa428,sadness,4774,8105,5324,6124,2449
149,Miranda Lambert,The Weight of These Wings,https://i.scdn.co/image/ab67616d0000b27357853d228f4dcdbb08df7a9c,joy,1325,7791,8404,7104,10495
150,Denitia and Sene,love and noir.,https://i.scdn.co/image/ab67616d0000b273b055334f94575ac3eb348c00,anger,3766,7818,10562,6036,9300
151,John Legend,Darkness and Light,https://i.scdn.co/image/ab67616d0000b273fa2ba77d93b08258827bd2d2,joy,3190,4484,7525,3373,2907
152,Coldcut,Only Heaven,https://i.scdn.co/image/ab67616d0000b2737e9e1682de57569716a24375,sadness,10540,9516,2247,7060,9278
153,"Joan as Police Woman, Benjamin Lazar Davis",Let It Be You,https://i.scdn.co/image/ab67616d0000b2730e629f13670e1424a7bfe60d,sadness,10475,5474,4815,3606,7500
154,Brand New,The Devil and God Are Raging Inside Me,https://i.scdn.co/image/ab67616d0000b2739f8ac0f160a5141a077b41c1,sadness,9265,4343,4388,6654,10004
155,Sun Ra,Singles,https://i.scdn.co/image/ab67616d0000b2733dff143c124ac31bf068be9f,joy,512,628,3790,10121,939
156,Dungen,Häxan,https://i.scdn.co/image/ab67616d0000b273bbb4368d0a747db4736930e7,joy,4322,7933,8467,2099,7247
157,Rufus Wainwright,Release the Stars,https://i.scdn.co/image/ab67616d0000b273de5a0980cb3f1d3e9d516338,joy,3113,3941,6552,1064,6121
158,Beyoncé,Beyoncé,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,joy,1086,2487,9590,5266,7038
159,Saâda Bonaire,Saâda Bonaire,https://i.scdn.co/image/ab67616d0000b27369dfcaf69c32a52e30b77f85,surprise,9834,3817,9509,3318,7611
160,Wild Beasts,Two Dancers,https://i.scdn.co/image/ab67616d0000b273a85b1fb5b39d81b1a36ae0a1,sadness,1696,6611,7402,8597,8011
161,Quest for Fire,Quest For Fire,https://i.scdn.co/image/ab67616d0000b2730d282210a5af5d6283125e3f,joy,2239,7790,1039,10915,4781
162,The xx,xx,https://i.scdn.co/image/ab67616d0000b2737676c7bf4e667590e496c2a3,joy,4933,3759,6551,4205,3274
163,Foot Village,Anti-Magic,https://i.scdn.co/image/ab67616d0000b2733e5465536a161658ba5cef0c,surprise,7024,10568,10695,3005,3489
164,Charli XCX,Sucker,https://i.scdn.co/image/ab67616d0000b273b3f49d38597780046ad62b87,joy,2372,522,6772,1647,7451
165,J. Cole,2014 Forest Hills Drive,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,anger,2233,743,856,10750,4017
166,Usnea,Random Cosmic Violence,https://i.scdn.co/image/ab67616d0000b273629ec45ed33dab56729e992f,sadness,10720,8274,1442,8131,4538
167,Richard Ashcroft,Keys to the World,https://i.scdn.co/image/ab67616d0000b273be3719fbb1af94e37ddd2dfd,surprise,1121,2411,6602,7323,8608
168,Thor,Triumphant,https://i.scdn.co/image/ab67616d0000b273f19e1315549258dfdf472afd,sadness,6739,3291,3478,4804,9071
169,Rosie Thomas,Only With Laughter Can You Win,https://i.scdn.co/image/ab67616d0000b273e3b94f2446e0c0a005b2b6de,sadness,5932,600,4266,7480,10656
170,Immortal Technique,"Revolutionary, Vol. 2",https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2,anger,973,2866,4232,2808,3734
171,Viktor Vaughn,Vaudeville Villain,https://i.scdn.co/image/ab67616d0000b273d97a55d6ace2bf9e8ccb8cb1,anger,2417,1253,941,10278,7912
172,Youth Lagoon,The Year of Hibernation,https://i.scdn.co/image/ab67616d0000b2733ef1207895b314d646f6a3b7,sadness,8528,3840,419,716,7233
173,Plaid,Scintilli,https://i.scdn.co/image/ab67616d0000b2737c5b5582dd4c9837df7c0f9a,surprise,746,6792,2840,81,115
174,The Stepkids,The Stepkids,https://i.scdn.co/image/ab67616d0000b273e02e5b70d1d7748233d0bd1f,joy,2544,8333,8657,9023,1358
175,Rwake,Rest,https://i.scdn.co/image/ab67616d0000b273ed94591c495af0ed91c6da98,anger,881,9651,8603,3745,4422
176,Dum Dum Girls,Only in Dreams,https://i.scdn.co/image/ab67616d0000b27311f1b3bd5db3a40c29dc9f90,sadness,4118,9693,2462,4457,10378
177,Brett Anderson,Black Rainbows,https://i.scdn.co/image/ab67616d0000b2730568634e0d4efc434f25e2d3,joy,6283,4939,10279,2882,522
178,Opeth,Heritage,https://i.scdn.co/image/ab67616d0000b2735f069b4cd24d8cbea78c07c6,sadness,57,4925,2396,6405,8772
