artist,album,danceability,energy,acousticness,loudness,anger,joy,sadness,surprise
Fazerdaze,Morningside,0.6322,0.6286,0.136875616,-8.6772,0.228906088,0.256000648,0.271967761,0.243125502
Blondie,Pollinator,0.469272727,0.890636364,0.001326882,-3.951363636,0.222025955,0.271426992,0.251157525,0.255389529
Oxbow,Thin Black Duke,0.341125,0.692625,0.006411125,-6.121375,0.246916336,0.26117554,0.242404446,0.249503678
Todd Rundgren,White Knight,0.587866667,0.635266667,0.273892,-7.843866667,0.258277013,0.258144548,0.242290501,0.241287939
Apparat,Duplex,0.423692308,0.643615385,0.127979,-11.16046154,0.252953533,0.252120269,0.239031443,0.255894755
Basement Jaxx,Rooty,0.723,0.724846154,0.072150092,-7.762153846,0.270449968,0.270638519,0.246058918,0.212852595
Bionaut,Lubricate Your Living-Room,0.634888889,0.399666667,0.344280556,-18.16927778,0.215687945,0.293570572,0.218100827,0.272640656
They Might Be Giants,Mink Car,0.630705882,0.643294118,0.143427565,-7.539705882,0.260724363,0.249474253,0.255616315,0.23418507
Apollo Sunshine,Katonah,0.3497,0.6274,0.21359,-7.6881,0.222810506,0.280415548,0.246878898,0.249895048
The Wrens,The Meadowlands,0.397769231,0.693576923,0.311895077,-7.438153846,0.255243409,0.236231372,0.245953074,0.262572145
Bola,Soup,0.5809,0.6121,0.0906309,-14.2485,0.281360857,0.242042,0.217795953,0.25880119
Casiotone for the Painfully Alone,Twinkle Echo,0.526071429,0.750357143,0.520310286,-6.054,0.248032117,0.249341652,0.245139866,0.257486364
Spiritualized,Amazing Grace,0.279545455,0.526454545,0.417267273,-8.076727273,0.276185747,0.249122745,0.271732823,0.202958685
Boris,At Last: Feedbacker,0.12854,0.53828,0.11175416,-7.012,0.235269268,0.251011867,0.241832476,0.27188639
Blockhead,Downtown Science,0.661083333,0.568166667,0.097295833,-9.837,0.219951325,0.272958633,0.238391516,0.268698525
Amandine,This Is Where Our Hearts Collide,0.424272727,0.310636364,0.613909091,-10.64390909,0.238115516,0.261806681,0.259559279,0.240518524
Jackie-O Motherfucker,Flags of the Sacred Harp,0.283142857,0.255304286,0.871142857,-13.98871429,0.223036667,0.296041793,0.248477405,0.232444134
Belle and Sebastian,Girls in Peacetime Want to Dance,0.499583333,0.685,0.068438333,-8.85025,0.223203707,0.281787798,0.260926878,0.234081617
Sleater-Kinney,No Cities to Love,0.4775,0.8961,0.0187179,-5.1496,0.229122587,0.290936791,0.267390434,0.212550188
The Dodos,Individ,0.392666667,0.787777778,0.019829889,-7.001666667,0.260372286,0.213223905,0.230610275,0.295793535
Monsters of Folk,Monsters of Folk,0.497733333,0.604666667,0.357539333,-7.7294,0.246715262,0.2617723,0.238828804,0.252683634
Castanets,"Texas Rose, the Thaw, and the Beasts",0.432636364,0.304909091,0.565381818,-15.07890909,0.234706604,0.28510219,0.27362325,0.206567956
Richard Hawley,Truelove's Gutter,0.420375,0.157675,0.766,-17.550625,0.251809264,0.251529259,0.268145481,0.228515996
Pearl Jam,Backspacer,0.494666667,0.750083333,0.135588575,-6.32025,0.232249578,0.268153145,0.264217359,0.235379919
Cannibal Ox,Blade of the Ronin,0.441130435,0.810478261,0.192314783,-5.921782609,0.256362988,0.249505135,0.248722841,0.245409037
Crypt Sermon,Out of the Garden,0.177,0.918285714,0.006026286,-3.522857143,0.271196656,0.224765291,0.273620032,0.230418022
Swervedriver,I Wasn't Born to Lose You,0.3619,0.8478,0.000601489,-4.6871,0.268357618,0.261396329,0.25374268,0.216503373
Matthew E. White,Fresh Blood,0.5087,0.5082,0.5125,-11.1525,0.237163012,0.291720075,0.246051446,0.225065467
Dick Diver,"Melbourne, Florida",0.58525,0.424666667,0.270180833,-9.654166667,0.256533775,0.232717382,0.232032603,0.27871624
Rio en Medio,The Bride of Dynamite,0.515833333,0.287,0.925666667,-13.89275,0.252122997,0.330629945,0.207756633,0.209490425
Fucked Up,Hidden World,0.236692308,0.965615385,0.000458292,-5.329076923,0.245811059,0.256697719,0.279151579,0.218339642
The Fall,Reformation Post TLC,0.420666667,0.886229167,0.095567237,-7.389270833,0.235304919,0.227320142,0.254816877,0.282558062
Chris Garneau,Music for Tourists,0.523,0.19933,0.8905,-13.7572,0.234214588,0.257747429,0.308256547,0.199781435
Beach Fossils,Somersault,0.498363636,0.632363636,0.120803364,-7.472,0.253259873,0.234800509,0.248558775,0.263380842
alt-J,RELAXER,0.46675,0.39875,0.5494875,-12.5575,0.221318084,0.321890607,0.240896735,0.215894574
Chastity Belt,I Used to Spend So Much Time Alone,0.474692308,0.628538462,0.532361538,-8.110846154,0.262506269,0.243358406,0.250751466,0.243383859
Omar Souleyman,"To Syria, With Love",0.548857143,0.933571429,0.03527,-4.157714286,0.252953533,0.252120269,0.239031443,0.255894755
Gucci Mane,Droptopwop,0.7841,0.4918,0.26127,-7.1177,0.319326669,0.223711893,0.249218514,0.207742924
Bill Callahan,Rough Travel for a Rare Thing,0.578272727,0.465181818,0.232691455,-11.78763636,0.240499844,0.264431734,0.272847187,0.222221234
Cibelle,Las Vênus Resort Palace Hotel,0.478428571,0.442221429,0.562502143,-14.13171429,0.218388699,0.307057969,0.238032986,0.236520345
The Tallest Man on Earth,The Wild Hunt,0.4848,0.393,0.8476,-9.2683,0.235549191,0.269418526,0.264276772,0.230755511
Priestess,Prior to the Fire,0.322090909,0.900363636,0.0017505,-4.020272727,0.240729201,0.246057522,0.286246624,0.226966653
The Horrors,Skying,0.42,0.8969,0.0029408,-5.4419,0.239118792,0.249359386,0.233180768,0.278341054
Prurient,Bermuda Drain,0.251,0.7,0.175067778,-5.940888889,0.25908361,0.264142,0.246086928,0.230687462
Kendrick Lamar,Section.80,0.567133333,0.777266667,0.41178,-6.713133333,0.315331695,0.215076966,0.252255379,0.21733596
Sons and Daughters,Mirror Mirror,0.6045,0.5885,0.1335327,-10.6519,0.24422017,0.298056016,0.208882016,0.248841798
Múm,Finally We Are No One,0.424363636,0.453627273,0.6537,-15.10754545,0.256221414,0.266152916,0.238722197,0.238903473
Moby,18,0.519483871,0.475603226,0.248252935,-10.87845161,0.242118271,0.243630056,0.279876085,0.234375588
Black Strobe,Burn Your Own Church,0.616090909,0.626636364,0.135207282,-9.258090909,0.226487506,0.267850173,0.250919091,0.25474323
M. Ward,Duet for Guitars #2,0.516133333,0.286133333,0.690953333,-16.14453333,0.238044732,0.257791327,0.259858345,0.244305595
You Say Party,Lose All Time,0.34525,0.758666667,0.158031417,-6.030416667,0.24902051,0.269075173,0.261958987,0.219945329
BOAT,Let's Drag Our Feet,0.381857143,0.561857143,0.4963,-7.904571429,0.270481789,0.265258177,0.233062297,0.231197737
David Bowie,Best of Bowie: 1980-1987,0.582947368,0.7314,0.114086632,-9.024368421,0.242426606,0.286379709,0.244043689,0.227149996
Magic!,Primary Colours,0.5982,0.7845,0.101322,-4.7452,0.249472964,0.258716899,0.243718409,0.248091728
Weaves,Weaves,0.439272727,0.712727273,0.0286459,-7.284363636,0.284953663,0.244542916,0.240363591,0.230139831
Bat for Lashes,The Bride,0.330307692,0.316023077,0.722707692,-12.07061538,0.213453015,0.278632993,0.275405001,0.232508991
Mick Harvey,Delirium Tremens,0.4215,0.70525,0.181539467,-8.386833333,0.238293669,0.268092759,0.259034803,0.234578769
Alice Bag,Alice Bag,0.464454545,0.809909091,0.087675545,-5.758181818,0.297499997,0.213939869,0.268804101,0.219756033
Stephen Steinbrink,Anagrams,0.552333333,0.5205,0.52775,-9.954416667,0.24927078,0.235505705,0.262964809,0.252258705
Pulp,Different Class,0.409083333,0.706666667,0.0731565,-8.734,0.235429571,0.25655088,0.217580292,0.290439257
Desiigner,New English,0.573285714,0.694214286,0.21769,-5.149785714,0.312840595,0.220645446,0.243183385,0.223330573
Nice as Fuck,Nice As Fuck,0.663222222,0.565111111,0.008423878,-8.910111111,0.258142018,0.283078074,0.23296155,0.225818358
Windsor for the Derby,We Fight Til Death,0.5582,0.481465,0.258572315,-14.9606,0.217491464,0.284706849,0.298265562,0.199536124
The Dillinger Escape Plan,Miss Machine,0.329727273,0.940181818,0.043666455,-5.114545455,0.289640723,0.231194618,0.254234637,0.224930022
The Blood Brothers,Crimes,0.381583333,0.859041667,0.007149604,-5.892,0.256831131,0.271779604,0.253194157,0.218195108
Mclusky,The Difference Between Me and You Is That I'm Not on Fire,0.421538462,0.856461538,0.062527462,-4.865692308,0.26822595,0.262916836,0.23498129,0.233875925
Pedro the Lion,Achilles Heel,0.563181818,0.593,0.096153027,-8.586,0.259385226,0.234087472,0.254264297,0.252263005
Felix Da Housecat,Devin Dazzle and The Neon Fever,0.72,0.729928571,0.104987214,-7.464928571,0.247209893,0.27412292,0.251591325,0.227075863
The Soft Moon,Zeros,0.4881,0.92,0.03955723,-5.4156,0.25515497,0.240133848,0.305646557,0.199064625
Tracey Thorn,Tinsel and Lights,0.470166667,0.328583333,0.580231667,-10.15566667,0.192378674,0.323163588,0.251247552,0.233210187
Martha Wainwright,Come Home to Mama,0.4738,0.502,0.47246,-8.6623,0.248272535,0.268766938,0.245066747,0.237893779
The Coup,Sorry to Bother You,0.736307692,0.709692308,0.081811538,-6.277,0.299985526,0.263261634,0.217027984,0.219724856
Andrew Bird,Hands of Glory,0.50025,0.3334625,0.74075,-11.85175,0.249374833,0.258471861,0.26651709,0.225636215
Sweet Valley,Eternal Champ,0.454076923,0.722153846,0.094547692,-8.513153846,0.259574102,0.299398005,0.216426201,0.224601693
Egyptian Hip Hop,Good Don't Sleep,0.5619,0.6067,0.23673,-9.5282,0.248139725,0.247415252,0.262990992,0.241454031
